45.235.52.0/24,BR,BR-SC,Florianopolis;ggggg
45.235.53.0/24,BR,BR-SC,Florianopolis;
45.235.54.0/24,BR,BR-SC,Florianopolis;
45.235.55.0/24,BR,BR-SC,Florianopolis;
200.225.112.0/24,BR,BR-SC,Florianopolis;
200.225.113.0/24,BR,BR-SC,Florianopolis;
200.225.114.0/24,BR,BR-RS,Caxias do Sul;
200.225.115.0/24,BR,BR-SC,Florianopolis;
206.0.92.0/24,BR,BR-SC,Florianopolis;
206.0.93.0/24,BR,BR-SC,Florianopolis;
206.0.94.0/24,BR,BR-SC,Florianopolis;
206.0.95.0/24,BR,BR-SC,Florianopolis;
38.224.144.0/24,BR,BR-SC,Florianopolis;
38.224.145.0/24,BR,BR-SC,Florianopolis;
38.224.146.0/24,BR,BR-RS,Caxias do Sul;
38.224.147.0/24,BR,BR-RS,Caxias do Sul;
2804:4d98::/41,BR,BR-SC,Florianopolis;
2804:4d98:80::/41,BR,BR-SC,Florianopolis;
2804:4d98:100::/41,BR,BR-SC,Florianopolis;
2804:4d98:180::/41,BR,BR-RS,Caxias do Sul;
2804:4d98:200::/41,BR,BR-SC,Florianopolis;
2804:4d98:280::/41,BR,BR-SC,Florianopolis;
2804:4d98:300::/41,BR,BR-SC,Florianopolis;
2804:4d98:380::/41,BR,BR-SC,Florianopolis;
2804:4d98:400::/41,BR,BR-SC,Florianopolis;
2804:4d98:480::/41,BR,BR-SC,Florianopolis;
2804:4d98:500::/41,BR,BR-SC,Florianopolis;
2804:4d98:580::/41,BR,BR-SC,Florianopolis;
2804:4d98:600::/41,BR,BR-SC,Florianopolis;
2804:4d98:680::/41,BR,BR-SC,Florianopolis;
2804:4d98:700::/41,BR,BR-SC,Florianopolis;
2804:4d98:780::/41,BR,BR-SC,Florianopolis;
2804:4d98:800::/41,BR,BR-SC,Florianopolis;
2804:4d98:880::/41,BR,BR-SC,Florianopolis;
2804:4d98:900::/41,BR,BR-SC,Florianopolis;
2804:4d98:980::/41,BR,BR-SC,Florianopolis;
2804:4d98:a00::/41,BR,BR-SC,Florianopolis;
